ID,X,Y,Z
P199,536806.448870986,3254108.43792137,211.21
P200,536806.46388633,3254103.82126831,210.986
P201,536806.47890162,3254099.20462636,210.746
P202,536806.493916926,3254094.58797336,210.505
P203,536806.508932212,3254089.97132039,210.29
P204,536806.523947443,3254085.35467853,210.039
P205,536806.53896269,3254080.73802562,209.73
P206,536806.553977918,3254076.12137273,209.581
P207,536806.568993091,3254071.50473096,209.424
P208,536806.58400828,3254066.88807813,209.277
P209,536806.599023449,3254062.27142533,209.1
P210,536806.614038563,3254057.65478364,209.1
P211,536834.577781106,3254159.31312385,209.77
P212,536834.592808172,3254154.69648147,209.536
P213,536834.607835255,3254150.07982805,209.349
P214,536834.622862318,3254145.46317465,209.302
P215,536834.637889326,3254140.84653236,209.212
P216,536834.65291635,3254136.22987902,209.133
P217,536834.667943355,3254131.61322571,209.1
P218,536834.682970304,3254126.99658351,209.1
P219,536834.69799727,3254122.37993026,209.1
P220,536834.713024216,3254117.76327703,209.1
P221,536834.728051107,3254113.14663492,209.195
P222,536834.743078015,3254108.52998175,209.299
P223,536834.758104903,3254103.91332861,209.4
P224,536834.773131735,3254099.29668658,209.478
P225,536834.788158584,3254094.6800335,209.615
P226,536834.803185414,3254090.06338045,209.786
P227,536834.818212188,3254085.44673851,209.999
P228,536834.833238979,3254080.83008551,209.976
P229,536834.84826575,3254076.21343255,209.959
P230,536834.863292465,3254071.59679069,209.941
P231,536834.878319198,3254066.98013778,209.921
P232,536834.89334591,3254062.3634849,209.893
P233,536834.908372567,3254057.74684313,209.858
P234,536834.923399241,3254053.13019031,209.813
P235,536834.938425896,3254048.51353752,209.762
P236,536862.886909965,3254154.78861345,210.042
P237,536862.901948591,3254150.17195994,210.267
P238,536862.916987197,3254145.55530646,210.393
P239,536862.932025749,3254140.93866409,210.548
P240,536862.947064316,3254136.32201067,210.726
P241,536862.962102864,3254131.70535728,210.915
P242,536862.977141357,3254127.08871499,211.119
P243,536862.992179866,3254122.47206166,211.325
P244,536863.007218356,3254117.85540835,211.531
P245,536863.02225679,3254113.23876616,211.734
P246,536863.037295241,3254108.62211291,211.93
P247,536863.052333672,3254104.00545969,212.112
P248,536863.067372048,3254099.38881758,212.274
P249,536863.08241044,3254094.77216442,212.405
P250,536863.097448813,3254090.15551128,212.518
P251,536782.046632919,3254154.52556697,219.611
P252,536782.061638564,3254149.9089137,219.389
P253,536782.076644189,3254145.29226045,219.127
P254,536782.091649759,3254140.67561832,218.82
P255,536782.106655346,3254136.05896513,218.305
P256,536782.121660913,3254131.44231197,218.025
P257,536782.136666425,3254126.82566991,217.766
P258,536782.151671953,3254122.20901681,217.545
P259,536782.166677462,3254117.59236374,217.337
P260,536782.181682915,3254112.97572177,217.153
P261,536782.196688385,3254108.35906876,217
P262,536782.211693836,3254103.74241577,216.866
P263,536782.226699231,3254099.12577389,216.744
P264,536782.241704643,3254094.50912096,216.798
P265,536782.256710035,3254089.89246806,216.706
P266,536782.271715372,3254085.27582627,216.517
P267,536782.286720725,3254080.65917342,216.25
P268,536782.301726059,3254076.04252061,215.859
